,algo,timesteps,time_usage,reward_mean,reward_std
0,SAC,80000,1553.2871632575989,180.3068156,20.386637603176947
1,SAC,160000,3208.517632007599,759.0961678,24.504477656310055
2,SAC,240000,4853.154181957245,833.9330147000001,31.891553515088955
3,SAC,320000,6440.672034025192,2673.8894583000006,80.91620148740861
4,SAC,400000,7850.183570861816,2858.1819224,1.220336653829369
5,SAC,480000,9179.945566177368,2722.1162857000004,1.1604033164348668
6,SAC,560000,10343.765303373337,2588.105785,289.78498235807757
7,SAC,640000,11510.230998516083,2862.1708659,1.3904736775870001
8,SAC,720000,12669.976058959961,2817.5476665,39.862951988466115
9,SAC,800000,13819.43245434761,2821.9468752999996,36.346325509222474
10,SAC,880000,14991.93343091011,2784.4300799,3.518999794462133
11,SAC,960000,16149.46968126297,2850.6797761999997,0.8358387679049354
12,SAC,1040000,17142.494002342224,2805.6136085,6.610348782820382
13,SAC,1120000,18116.41092991829,2671.2464852,0.6326388897115777
14,SAC,1200000,19088.630076885223,1847.272103,12.44330835609631
15,SAC,1280000,20059.46475625038,2820.4237723,2.2467814823864374
16,SAC,1360000,21029.251835107803,2821.0531103000003,0.5285733576539804
17,SAC,1440000,21992.564743995667,2771.039133,2.0127076038654543
18,SAC,1520000,22960.725625276566,2155.2221379000007,563.4948100527951
19,SAC,1600000,23924.450620174408,1378.2933785999999,1525.1810147517872
20,SAC,1680000,24872.017055273056,1839.2638781,47.678797418318474
21,SAC,1760000,25843.252557516098,2812.8640323,2.647716241104405
22,SAC,1840000,26810.872834205627,2821.7962697,17.950619365847654
23,SAC,1920000,27775.330397605896,2850.9211749,4.874716420745261
24,SAC,2000000,28746.90390753746,2748.7254764,0.5724002482916883
25,SAC,2080000,29716.347497701645,2858.2920346,0.563475932549398
26,SAC,2160000,30693.16468167305,2807.6451084,0.8573502367363306
27,SAC,2240000,31671.78833937645,2848.4712336,17.45911627618042
28,SAC,2320000,32498.77463078499,2832.1808530000008,13.495762657344459
29,SAC,2400000,33177.820200920105,2781.7316703,10.806687711578224
30,SAC,2480000,33859.72027516365,2746.6036350000004,3.9494415065889847
31,SAC,2560000,34562.957376241684,2804.2742937999997,3.150815051698033
32,SAC,2640000,35263.58773612976,2648.7844043,12.29266352453092
33,SAC,2720000,35942.58563232422,2794.6462273,25.62964749690272
34,SAC,2800000,36626.40035390854,804.4533937999998,1904.4607533197832
35,SAC,2880000,37310.55165433884,2790.97976,0.9378168081537738
36,SAC,2960000,38003.53333234787,2722.0798182999997,6.301323856217358
37,SAC,3040000,38695.17266082764,2728.9248968999996,45.71773804138768
38,SAC,3120000,39391.68911123276,2712.9159057,32.25426213756174
39,SAC,3200000,40081.029393434525,2780.3435683,0.9844757320055575
40,SAC,3280000,40777.15244650841,2779.5988149,1.2732866571744936
41,SAC,3360000,41478.10564446449,2584.6480107,526.3550041056781
42,SAC,3440000,42171.52441120148,2805.996802,1.5767103359092407
43,SAC,3520000,42839.93366146088,2791.9512783000005,29.899456847263096
44,SAC,3600000,43494.54970860481,2803.4852199999996,2.569714750176895
45,SAC,3680000,44159.93161940575,2703.3088739000004,1.8890315094637105
46,SAC,3760000,44827.758390426636,2793.1817804999996,0.6602658048378838
47,SAC,3840000,45490.21094965935,2827.0214502999997,0.7176595648120294
48,SAC,3920000,46137.50952029228,2768.2229193000003,2.09935807820537
49,SAC,4000000,46787.06042265892,2770.4592799,0.7255623384551251
50,SAC,4080000,47445.902349710464,2743.2187074,21.448924898362844
51,SAC,4160000,48096.512803554535,2754.3037985999995,27.69133527098708
52,SAC,4240000,48618.29403734207,2755.7005123999998,1.2334883191230368
53,SAC,4320000,49142.003806591034,2732.5904292999994,0.383366061246427
54,SAC,4400000,49670.69664025307,2779.5791668,2.26923305639375
55,SAC,4480000,50170.6423163414,2757.4280525,38.682531311243885
56,SAC,4560000,50702.17842078209,2792.8818564000003,0.5637993558189659
57,SAC,4640000,51235.84745550156,2672.1249428,1.274651774486713
