,algo,timesteps,time_usage,reward_mean,reward_std
0,SAC,10000,106.44987154006958,-74.9934391,45.88721205206317
1,SAC,20000,242.6652112007141,-125.89004680000001,34.918551802233196
2,SAC,30000,436.01037406921387,-132.79052969999998,8.704848186131999
3,SAC,40000,636.0958778858185,-153.7245552,56.89904310121149
4,SAC,50000,914.9706325531006,-108.363122,45.30341094733599
5,SAC,60000,1203.4471590518951,-110.1836894,58.560426729060346
6,SAC,70000,1493.6288108825684,-89.607765,51.636785492974575
7,SAC,80000,1788.181899547577,-135.3556496,46.57977563875032
8,SAC,90000,2083.3838379383087,-88.71121380000001,66.34109603913465
9,SAC,100000,2378.4364733695984,-129.8724835,19.502147713748013
10,SAC,110000,2672.2593421936035,-117.15870419999999,69.16819885382859
11,SAC,120000,2968.5289976596832,-113.44085930000001,34.49347827643579
12,SAC,130000,3262.462409734726,-117.05853979999999,59.33673439104226
13,SAC,140000,3553.7613110542297,-151.1547471,68.00700683916071
14,SAC,150000,3848.226145029068,-97.9563926,83.47496241555638
15,SAC,160000,4141.965031385422,-143.0307057,42.747206323730936
16,SAC,170000,4435.637838125229,-111.7790571,61.87489093843708
17,SAC,180000,4728.529484510422,-107.60971450000002,71.88120391317032
18,SAC,190000,5021.268508911133,-104.8860819,91.9774529627978
19,SAC,200000,5317.003575563431,-80.7647197,70.47504389679848
20,SAC,210000,5613.28496837616,-111.7469231,79.53938357419591
21,SAC,220000,5907.797724485397,-130.4003857,54.53819415048786
22,SAC,230000,6201.211932182312,-80.62999260000001,51.17075060320932
23,SAC,240000,6496.274375677109,-97.80363919999999,65.8327921335546
24,SAC,250000,6790.8952305316925,-160.44255800000002,79.9722170988061
25,SAC,260000,7085.713715553284,-120.7542138,36.274121007474356
26,SAC,270000,7378.613431692123,-111.99726640000002,57.89737901722658
27,SAC,280000,7672.944440841675,-82.93354860000001,54.927855691570144
28,SAC,290000,7969.14871263504,-142.86776809999998,55.52973598075616
29,SAC,300000,8262.76345205307,-93.79845029999998,54.943541709387205
30,SAC,310000,8559.857620954514,-97.530203,52.906240510219554
31,SAC,320000,8852.095698833466,-146.6948938,41.3918861106856
32,SAC,330000,9147.83754992485,-100.64148629999998,54.215380016459115
33,SAC,340000,9435.760227680206,-42.38812119999999,43.24312010810205
34,SAC,350000,9711.812124967575,-128.70361970000002,35.97981253317928
35,SAC,360000,9992.804456472397,-112.1224588,51.877114214941514
36,SAC,370000,10272.20340180397,-112.40756259999998,45.35706819410807
37,SAC,380000,10548.448105335236,-131.8661298,67.45054326095854
38,SAC,390000,10807.423167705536,-105.0422327,69.19489088151172
39,SAC,400000,11067.578212499619,-130.3776191,63.06091036699012
40,SAC,410000,11321.4471514225,-106.6777711,44.615331403031696
41,SAC,420000,11557.890904664993,-98.0075166,74.4935247568914
42,SAC,430000,11782.071295261383,-110.2529734,34.49897468934494
43,SAC,440000,12005.639262914658,-110.85089500000001,47.40108321677501
44,SAC,450000,12229.79593038559,-89.9734964,46.03307569671886
45,SAC,460000,12453.4676258564,-118.69425110000002,48.93810555768978
46,SAC,470000,12680.788597345352,-144.25062839999998,52.98884066460839
47,SAC,480000,12905.45053768158,-96.35604989999999,29.648984068914228
48,SAC,490000,13133.07423043251,-123.6833121,79.04438520490392
49,SAC,500000,13349.812867164612,-119.999582,60.353977738347744
50,SAC,510000,13546.163833141327,-115.30272810000001,49.97651694327228
51,SAC,520000,13734.33525633812,-106.78218580000001,49.07924254783083
52,SAC,530000,13901.399595975876,-117.07744520000001,96.8471641157974
53,SAC,540000,14069.126147031784,-110.26917639999999,42.81687704664055
54,SAC,550000,14238.856130361557,-129.19908070000002,31.964292727440846
55,SAC,560000,14407.63865160942,-85.01997550000002,69.27421960556065
56,SAC,570000,14578.9635014534,-108.71843340000001,65.02043671252169
57,SAC,580000,14749.55290555954,-143.5625163,49.90432647729221
58,SAC,590000,14919.685618638992,-114.565506,60.69576656273745
59,SAC,600000,15088.364268064499,-94.6212908,39.75710120513072
60,SAC,610000,15256.734119176865,-102.7074246,77.95800651749946
61,SAC,620000,15426.698926448822,-88.4178323,66.62740423069836
62,SAC,630000,15597.850738048553,-130.0901005,89.0888157040116
63,SAC,640000,15766.28335762024,-135.2329942,70.53477647273039
64,SAC,650000,15934.56618475914,-106.29359240000001,67.27620268720703
65,SAC,660000,16104.235111236572,-76.9504137,54.969018507162716
66,SAC,670000,16273.654609203339,-131.1603263,95.27996290145238
67,SAC,680000,16445.15859723091,-115.81950940000002,55.1222812947831
68,SAC,690000,16609.74614405632,-90.3480464,56.45930349131429
69,SAC,700000,16783.60053539276,-106.2877555,38.01954203360511
70,SAC,710000,16957.420122623444,-89.06385,70.63775955705111
71,SAC,720000,17127.836177825928,-90.6711178,58.68415225147963
72,SAC,730000,17303.876183748245,-119.3797034,42.24503207801198
73,SAC,740000,17473.62964463234,-132.0311608,61.943923839656556
74,SAC,750000,17642.158543348312,-118.4021356,43.360463721376966
75,SAC,760000,17812.443341493607,-120.7412104,27.182954551841245
76,SAC,770000,17984.233720541,-140.9169734,49.35923431606903
77,SAC,780000,18153.655081748962,-132.24106659999998,62.921811190307764
78,SAC,790000,18321.55794763565,-156.0423277,64.14311646867596
79,SAC,800000,18493.458847522736,-134.35689340000002,47.96963318972338
80,SAC,810000,18662.133969545364,-98.8716076,41.39692210826459
81,SAC,820000,18832.609655857086,-116.53652940000002,60.02389923395843
82,SAC,830000,19003.044711589813,-140.82752889999998,55.44337061603017
83,SAC,840000,19173.541029691696,-127.24679609999998,66.84114839095871
84,SAC,850000,19343.027790784836,-132.8751306,52.75978266404282
85,SAC,860000,19513.318207740784,-80.2605282,50.99690348085659
86,SAC,870000,19683.039043426514,-130.9112682,62.25570224931577
87,SAC,880000,19855.488634109497,-96.5459967,79.51933169023903
88,SAC,890000,20026.295121908188,-122.2351828,64.37485744901885
89,SAC,900000,20191.807517051697,-111.6054389,51.880814214771505
90,SAC,910000,20361.11350107193,-99.7621565,49.059432479720655
91,SAC,920000,20532.361577033997,-124.89873989999998,27.954206015239226
92,SAC,930000,20702.31757760048,-100.7414171,58.54623171576335
93,SAC,940000,20872.172300100327,-119.4934632,54.27575240340205
94,SAC,950000,21041.15070962906,-98.1970578,59.02939232967127
95,SAC,960000,21212.638298034668,-101.5227741,66.94986645606777
96,SAC,970000,21382.348442554474,-139.98242580000002,54.529068506918556
97,SAC,980000,21551.754392147064,-102.27223699999999,49.406950408209795
98,SAC,990000,21722.22743177414,-111.1925495,51.995668224979234
99,SAC,1000000,21895.54124903679,-138.2448494,55.70251445305186
