,algo,timesteps,time_usage,reward_mean,reward_std
0,TRPO,10000,30.372775316238403,-3463.9689811999997,143.35078113830548
1,TRPO,20000,65.41170763969421,-2282.785178,273.41482327401377
2,TRPO,30000,100.39042806625366,-1965.0450047000002,321.6517988029704
3,TRPO,40000,135.26800322532654,-1878.6106740999996,107.9548135111944
4,TRPO,50000,175.7313575744629,-1371.4960403999999,161.93594613094612
5,TRPO,60000,225.131911277771,-1136.6521736,133.2993171702794
6,TRPO,70000,289.0734453201294,-826.7737007,174.46891681150083
7,TRPO,80000,356.9644114971161,-1200.8408960000002,1331.203382479324
8,TRPO,90000,427.8401277065277,-189.21162109999997,197.83519392454383
9,TRPO,100000,496.3154628276825,-234.61189449999998,167.98733356865304
10,TRPO,110000,536.642986536026,-181.66614309999997,118.8055147343632
11,TRPO,120000,570.8727288246155,-134.0081743,46.398979145285175
12,TRPO,130000,606.1326217651367,-506.1243246,1083.8914280604333
13,TRPO,140000,642.9355187416077,-466.064711,968.72811372541
14,TRPO,150000,690.4479019641876,-185.4383191,132.02657414065155
15,TRPO,160000,748.840812921524,-151.87954810000002,116.20131939850776
16,TRPO,170000,811.9338276386261,-629.9525051,1053.5947775397929
17,TRPO,180000,884.2601737976074,-669.2492819,1049.7544691233554
18,TRPO,190000,958.7758371829987,-191.9573063,122.64825610520542
19,TRPO,200000,1033.8043627738953,-496.0391012,1101.3992039161362
20,TRPO,210000,1108.3053753376007,-536.0073869,1070.9170246166611
21,TRPO,220000,1182.7256259918213,-321.33396490000007,169.28421195099324
22,TRPO,230000,1258.212319612503,-499.0377525999999,1097.9412444092775
23,TRPO,240000,1332.1798923015594,-922.3716751999998,1434.8064309019644
24,TRPO,250000,1407.5578498840332,-266.3530681,381.5848712703079
25,TRPO,260000,1481.7113184928894,-221.83158500000005,113.07978125944365
26,TRPO,270000,1553.6067531108856,-265.0550392,318.46039056450593
27,TRPO,280000,1629.1999638080597,-138.0325315,70.27790986060383
28,TRPO,290000,1704.9833719730377,-171.5913827,189.00655722806547
29,TRPO,300000,1778.7885973453522,-175.92710449999998,100.1942453096473
30,TRPO,310000,1854.1794843673706,-572.3718193000001,1070.876917766199
